Item,Section,What is reported,Where
1,Title,Identified as a review with a scoping audit as one component (§3).,Title page; §3 heading
2,Abstract,"Structured summary: objective, sources, charting, results, conclusion.","Abstract, sentences 3–5"
3,Rationale,The constraint is stated in the field but never costed.,§1 ¶5; §3 ¶1
4,Objectives,"One question in PCC terms; population, concept and context stated.",§3 ¶2; Appendix S7.1
5,Protocol and registration,No protocol was registered; stated explicitly.,§3 ¶2
6,Eligibility criteria,"Reviews 2020–2026, NAD in title with a precursor term; subject-ineligible records coded at scoring.",§3 ¶2; Appendix S7.3
7,Information sources,"PubMed, mapped to PubMed Central for full text; institutional subscription otherwise.",§3 ¶2; Appendix S7.2–S7.3
8,Search,"Full search string given verbatim, no language restriction.",Appendix S7.2
9,Selection of sources of evidence,Automated keyword screen followed by human adjudication of every flagged passage.,Appendix S7.4
10,Data charting process,Two primary axes and one secondary axis; 32 records read in full duplicate.,"§3 ¶2; Appendix S7.4, S7.7"
11,Data items,Chemical species named as inhibitor; enzyme said to be inhibited; branch stratification.,Table 1; Appendix S7.4
12,Critical appraisal,"Not applicable. The audit records what reviews state, not whether they are right.",§3 ¶2
13,Synthesis of results,Counts and cross-classification; no quantitative pooling.,Table 1; §3 ¶¶3–5
14,Selection of sources of evidence,"236 identified, 176 full text obtained, 60 not obtainable, 7 ineligible on subject.",Figure S2; Table S7a
15,Characteristics of sources,Publication type restricted to review at index level; period and title restriction stated.,§3 ¶2; Appendix S7.2
16,Critical appraisal within sources,Not applicable (see item 12).,—
17,Results of individual sources,The ten records that state the constraint are listed with PMID and how the statement appears.,"Appendix S7.5, S7.9"
18,Synthesis of results,"Five state it, twelve place it downstream, none converts it; naming ratio 6.0 to 1.",Table 1; §3 ¶¶3–5
19,Summary of evidence,Ten reviews in 297 state the constraint and none turns it into a number.,§3 ¶10
20,Limitations,"Four, of which the first two work against the result reported.",§3 ¶9; Appendix S7.8
21,Conclusions,"The gap the review fills, and what §4 supplies.",§3 ¶10
22,Funding,Stated on the title page; no role of the funder in the audit.,Title page
